donor	receptor	group
C05M5	C03M3	transplant
C05M3	C03M2	transplant
C05M1	C03M5	transplant
C05M4	C03M1	transplant
C04M3	C04M3	control
C04M4	C04M4	control
C04M1	C04M1	control
C04M2	C04M2	control
C04M5	C04M5	control
C05M5	C05M4	transplant
C05M3	C05M1	transplant
C05M2	C05M2	transplant
C05M1	C05M3	transplant
C05M4	C05M5	transplant
C06M4	C06M3	transplant
C06M2	C06M5	transplant
C06M1	C06M1	transplant
C06M5	C06M2	transplant
C06M3	C06M4	transplant
C10F3	C10F1	transplant
C10F4	C10F5	transplant
C10F2	C10F2	transplant
C10F5	C10F4	transplant
C10F1	C10F3	transplant
C10F3	C11F4	transplant
C10F4	C11F1	transplant
C10F2	C11F5	transplant
C10F5	C11F2	transplant
C10F1	C11F3	transplant
C12F5	C12F3	transplant
C12F1	C12F4	transplant
C12F2	C12F2	transplant
C12F4	C12F1	transplant
C12F3	C12F5	transplant
C13F3	C13F3	control
C13F5	C13F5	control
C13F1	C13F1	control
C13F2	C13F2	control
C13F4	C13F4	control
